INSTNM,combined_pred
Alabama A & M University,1.0
University of Maryland Eastern Shore,1.0
University of Southern California,1.0
Fort Lewis College,1.0
Hult International Business School,1.0
Stevenson University,1.0
St. Mary's College of Maryland,1.0
Post University,1.0
Morgan State University,1.0
Western Connecticut State University,1.0
University of Florida,1.0
University of Delaware,1.0
Frostburg State University,1.0
Georgetown University,1.0
Howard University,1.0
University of Maine at Presque Isle,1.0
Florida Atlantic University,1.0
Florida International University,1.0
Northeastern University,1.0
San Jose State University,1.0
