INSTNM,combined_pred
University of Alaska Anchorage,1.0
Western Kentucky University,1.0
California State University-Fullerton,1.0
University of Central Florida,1.0
Wichita State University,1.0
Albany State University,1.0
Pacific Union College,1.0
Northern Arizona University,1.0
Simmons University,1.0
Central Connecticut State University,1.0
Indiana University-Purdue University-Indianapolis,1.0
University of Dubuque,1.0
Cochise County Community College District,1.0
University of North Florida,1.0
University of California-Irvine,1.0
George Washington University,1.0
Occidental College,1.0
Northern Kentucky University,1.0
Arizona State University Campus Immersion,1.0
Otis College of Art and Design,1.0
