INSTNM,combined_pred
University of Silicon Valley,1.0
University of Denver,1.0
University of Notre Dame,1.0
Arizona State University Campus Immersion,1.0
University of California-San Diego,1.0
University of California-Los Angeles,1.0
Harvard University,1.0
Colorado School of Mines,1.0
University of Southern California,1.0
University of Florida,1.0
Northwestern University,1.0
Georgetown College,0.0
Frontier Nursing University,0.0
Eastern Kentucky University,0.0
Alabama A & M University,0.0
University of the Cumberlands,0.0
Kentucky State University,0.0
Clear Creek Baptist Bible College,0.0
Centre College,0.0
Bluegrass Community and Technical College,0.0
