INSTNM,combined_pred
Alabama A & M University,1.0
Upper Iowa University,1.0
Maharishi International University,1.0
Marshalltown Community College,1.0
Morningside University,1.0
Mount Mercy University,1.0
North Iowa Area Community College,1.0
University of Northern Iowa,1.0
Saint Ambrose University,1.0
Simpson College,1.0
Southeastern Community College,1.0
Southwestern Community College,1.0
Waldorf University,1.0
Taylor University,1.0
Wartburg College,1.0
Western Iowa Tech Community College,1.0
William Penn University,1.0
Allen County Community College,1.0
Baker University,1.0
Barton County Community College,1.0
