INSTNM,combined_pred
Alabama A & M University,1.0
Garden City Community College,1.0
Simpson College,1.0
Southeastern Community College,1.0
Southwestern Community College,1.0
Upper Iowa University,1.0
Waldorf University,1.0
Wartburg College,1.0
Western Iowa Tech Community College,1.0
William Penn University,1.0
Allen County Community College,1.0
Baker University,1.0
Barton County Community College,1.0
Benedictine College,1.0
Bethel College-North Newton,1.0
Butler Community College,1.0
Central Christian College of Kansas,1.0
Cloud County Community College,1.0
Coffeyville Community College,1.0
Colby Community College,1.0
