INSTNM,combined_pred
Alabama A & M University,1.0
Hillsborough Community College,1.0
Salisbury University,1.0
Hult International Business School,1.0
American International College,1.0
Assumption University,1.0
Bentley University,1.0
Florida Southern College,1.0
Boston College,1.0
Florida International University,1.0
Florida International University,1.0
Florida Institute of Technology,1.0
Boston University,1.0
Flagler College,1.0
Brandeis University,1.0
Florida Atlantic University,1.0
Embry-Riddle Aeronautical University-Daytona Beach,1.0
Florida SouthWestern State College,1.0
Clark University,1.0
Curry College,1.0
