INSTNM,combined_pred
Alabama A & M University,1.0
Wesleyan College,1.0
Stevenson University,1.0
Towson University,1.0
Spelman College,1.0
Toccoa Falls College,1.0
St. Mary's College of Maryland,1.0
Valdosta State University,1.0
University of West Georgia,1.0
Savannah College of Art and Design,1.0
Salisbury University,1.0
University of Hawaii at Hilo,1.0
University of Hawaii at Manoa,1.0
Mount St. Mary's University,1.0
Morgan State University,1.0
University of Maryland Eastern Shore,1.0
Savannah State University,1.0
Reinhardt University,1.0
University of Idaho,1.0
LaGrange College,1.0
