INSTNM,combined_pred
Alabama A & M University,1.0
Eckerd College,1.0
Hillsborough Community College,1.0
Boston College,1.0
Boston University,1.0
Brandeis University,1.0
Clark University,1.0
Curry College,1.0
Emerson College,1.0
Fisher College,1.0
Fitchburg State University,1.0
Framingham State University,1.0
University of Florida,1.0
Florida State University,1.0
Gordon-Conwell Theological Seminary,1.0
Florida Memorial University,1.0
The College of the Florida Keys,1.0
Hampshire College,1.0
Florida International University,1.0
Harvard University,1.0
