INSTNM,combined_pred
Alabama A & M University,1.0
Emmanuel College,1.0
North Georgia Technical College,1.0
Mercer University,1.0
Mercer University,1.0
LaGrange College,1.0
Salisbury University,1.0
St. Mary's College of Maryland,1.0
University of Georgia,1.0
Georgia State University,1.0
Georgia Southern University,1.0
Georgia Southern University,1.0
Georgia College & State University,1.0
Georgia Institute of Technology-Main Campus,1.0
Fort Valley State University,1.0
Emory University,1.0
East Georgia State College,1.0
The University of Tampa,1.0
Dalton State College,1.0
Towson University,1.0
