INSTNM,combined_pred
Alabama A & M University,1.0
Rosalind Franklin University of Medicine and Science,1.0
Fort Valley State University,1.0
Georgia Southern University,1.0
Georgia Southern University,1.0
Georgia State University,1.0
Mercer University,1.0
Morehouse College,1.0
Savannah College of Art and Design,1.0
Savannah State University,1.0
University of Hawaii at Hilo,1.0
Brigham Young University-Idaho,1.0
University of Chicago,1.0
The Catholic University of America,1.0
Elmhurst University,1.0
Eureka College,1.0
Illinois State University,1.0
East Georgia State College,1.0
Moody Bible Institute,1.0
North Park University,1.0
