INSTNM,combined_pred
Alabama A & M University,1.0
University of Indianapolis,1.0
Garden City Community College,1.0
William Penn University,1.0
University of Maryland-Baltimore County,1.0
University of Northern Iowa,1.0
Vincennes University,1.0
Indiana University-Bloomington,1.0
Northern Arizona University,1.0
Eastern Kentucky University,1.0
Assumption University,1.0
Babson College,1.0
Bentley University,1.0
Boston University,1.0
Brandeis University,1.0
Indiana University-Purdue University-Indianapolis,1.0
Kansas State University,1.0
University of Kentucky,1.0
University of Alabama at Birmingham,1.0
Southern University and A & M College,1.0
