INSTNM,combined_pred
Lewis-Clark State College,1.0
Georgia State University,1.0
Illinois State University,1.0
University of Illinois Chicago,1.0
Elmhurst University,1.0
DePaul University,1.0
University of Chicago,1.0
Golden West College,1.0
Bradley University,1.0
Brigham Young University-Idaho,1.0
Northwest Nazarene University,1.0
Boise State University,1.0
Irvine Valley College,1.0
University of Hawaii at Hilo,1.0
Savannah State University,1.0
Savannah College of Art and Design,1.0
Oglethorpe University,1.0
Judson University,1.0
College of Lake County,1.0
Franciscan School of Theology,1.0
