UNITID_P,INSTNM,BRANCH,Address,City,State,men_total,women_total,Total,WEAPON20,DRUG20,LIQUOR20,WEAPON21,DRUG21,LIQUOR21,WEAPON22,DRUG22,LIQUOR22,FILTER20,FILTER21,FILTER22,WEAPON_sum,WEAPON_avg,WEAPON_diff_20_21,WEAPON_diff_21_22,WEAPON_diff_20_22,FILTER20_x_WEAPON20,FILTER20_x_WEAPON21,FILTER20_x_WEAPON22,FILTER21_x_WEAPON20,FILTER21_x_WEAPON21,FILTER21_x_WEAPON22,FILTER22_x_WEAPON20,FILTER22_x_WEAPON21,FILTER22_x_WEAPON22,DRUG_sum,DRUG_avg,DRUG_diff_20_21,DRUG_diff_21_22,DRUG_diff_20_22,FILTER20_x_DRUG20,FILTER20_x_DRUG21,FILTER20_x_DRUG22,FILTER21_x_DRUG20,FILTER21_x_DRUG21,FILTER21_x_DRUG22,FILTER22_x_DRUG20,FILTER22_x_DRUG21,FILTER22_x_DRUG22,LIQUOR_sum,LIQUOR_avg,LIQUOR_diff_20_21,LIQUOR_diff_21_22,LIQUOR_diff_20_22,FILTER20_x_LIQUOR20,FILTER20_x_LIQUOR21,FILTER20_x_LIQUOR22,FILTER21_x_LIQUOR20,FILTER21_x_LIQUOR21,FILTER21_x_LIQUOR22,FILTER22_x_LIQUOR20,FILTER22_x_LIQUOR21,FILTER22_x_LIQUOR22
100654001,Alabama A & M University,Main Campus,4900 MERIDIAN ST,NORMAL,AL,2369.0,3638.0,6007.0,3.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,1.0,1,1,1,5.0,1.6666666666666667,-2.0,0.0,-2.0,3.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,6.0,2.0,4.0,-2.0,2.0,0.0,4.0,2.0,0.0,4.0,2.0,0.0,4.0,2.0,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
100663001,University of Alabama at Birmingham,Main Campus,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So",BIRMINGHAM,AL,7903.0,13736.0,21639.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100706001,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,5333.0,3904.0,9237.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100724001,Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,1347.0,2481.0,3828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100751001,The University of Alabama,Main Campus,1110 Jackson Ave,TUSCALOOSA,AL,16506.0,22138.0,38644.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1,1,1,2.0,0.6666666666666666,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.6666666666666666,0.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100760001,Central Alabama Community College,Alexander City Campus,1675 Cherokee Rd,Alexander City,AL,751.0,1026.0,1777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100812001,Athens State University,Athens State University Main Campus,300 N BEATY ST,ATHENS,AL,887.0,2007.0,2894.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100830001,Auburn University at Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,1900.0,3209.0,5109.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100858001,Auburn University,Auburn University,182 South College Street,Auburn,AL,15678.0,16086.0,31764.0,0.0,0.0,7.0,0.0,2.0,4.0,0.0,0.0,5.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,2.0,-2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,16.0,5.333333333333333,-3.0,1.0,-2.0,7.0,4.0,5.0,7.0,4.0,5.0,7.0,4.0,5.0
100858007,Auburn University,E W Shell Fisheries Center North,2101 North College Street,Auburn,AL,15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
