UNITID_P,INSTNM,BRANCH,Address,City,State,men_total,women_total,Total,MURD20,NEG_M20,RAPE20,FONDL20,INCES20,STATR20,ROBBE20,AGG_A20,BURGLA20,VEHIC20,ARSON20,MURD21,NEG_M21,RAPE21,FONDL21,INCES21,STATR21,ROBBE21,AGG_A21,BURGLA21,VEHIC21,ARSON21,MURD22,NEG_M22,RAPE22,FONDL22,INCES22,STATR22,ROBBE22,AGG_A22,BURGLA22,VEHIC22,ARSON22,FILTER20,FILTER21,FILTER22,MURD_sum,MURD_avg,MURD_diff_20_21,MURD_diff_21_22,MURD_diff_20_22,FILTER20_x_MURD20,FILTER20_x_MURD21,FILTER20_x_MURD22,FILTER21_x_MURD20,FILTER21_x_MURD21,FILTER21_x_MURD22,FILTER22_x_MURD20,FILTER22_x_MURD21,FILTER22_x_MURD22,NEG_M_sum,NEG_M_avg,NEG_M_diff_20_21,NEG_M_diff_21_22,NEG_M_diff_20_22,FILTER20_x_NEG_M20,FILTER20_x_NEG_M21,FILTER20_x_NEG_M22,FILTER21_x_NEG_M20,FILTER21_x_NEG_M21,FILTER21_x_NEG_M22,FILTER22_x_NEG_M20,FILTER22_x_NEG_M21,FILTER22_x_NEG_M22,RAPE_sum,RAPE_avg,RAPE_diff_20_21,RAPE_diff_21_22,RAPE_diff_20_22,FILTER20_x_RAPE20,FILTER20_x_RAPE21,FILTER20_x_RAPE22,FILTER21_x_RAPE20,FILTER21_x_RAPE21,FILTER21_x_RAPE22,FILTER22_x_RAPE20,FILTER22_x_RAPE21,FILTER22_x_RAPE22,FONDL_sum,FONDL_avg,FONDL_diff_20_21,FONDL_diff_21_22,FONDL_diff_20_22,FILTER20_x_FONDL20,FILTER20_x_FONDL21,FILTER20_x_FONDL22,FILTER21_x_FONDL20,FILTER21_x_FONDL21,FILTER21_x_FONDL22,FILTER22_x_FONDL20,FILTER22_x_FONDL21,FILTER22_x_FONDL22,INCES_sum,INCES_avg,INCES_diff_20_21,INCES_diff_21_22,INCES_diff_20_22,FILTER20_x_INCES20,FILTER20_x_INCES21,FILTER20_x_INCES22,FILTER21_x_INCES20,FILTER21_x_INCES21,FILTER21_x_INCES22,FILTER22_x_INCES20,FILTER22_x_INCES21,FILTER22_x_INCES22,STATR_sum,STATR_avg,STATR_diff_20_21,STATR_diff_21_22,STATR_diff_20_22,FILTER20_x_STATR20,FILTER20_x_STATR21,FILTER20_x_STATR22,FILTER21_x_STATR20,FILTER21_x_STATR21,FILTER21_x_STATR22,FILTER22_x_STATR20,FILTER22_x_STATR21,FILTER22_x_STATR22,ROBBE_sum,ROBBE_avg,ROBBE_diff_20_21,ROBBE_diff_21_22,ROBBE_diff_20_22,FILTER20_x_ROBBE20,FILTER20_x_ROBBE21,FILTER20_x_ROBBE22,FILTER21_x_ROBBE20,FILTER21_x_ROBBE21,FILTER21_x_ROBBE22,FILTER22_x_ROBBE20,FILTER22_x_ROBBE21,FILTER22_x_ROBBE22,AGG_A_sum,AGG_A_avg,AGG_A_diff_20_21,AGG_A_diff_21_22,AGG_A_diff_20_22,FILTER20_x_AGG_A20,FILTER20_x_AGG_A21,FILTER20_x_AGG_A22,FILTER21_x_AGG_A20,FILTER21_x_AGG_A21,FILTER21_x_AGG_A22,FILTER22_x_AGG_A20,FILTER22_x_AGG_A21,FILTER22_x_AGG_A22,BURGLA_sum,BURGLA_avg,BURGLA_diff_20_21,BURGLA_diff_21_22,BURGLA_diff_20_22,FILTER20_x_BURGLA20,FILTER20_x_BURGLA21,FILTER20_x_BURGLA22,FILTER21_x_BURGLA20,FILTER21_x_BURGLA21,FILTER21_x_BURGLA22,FILTER22_x_BURGLA20,FILTER22_x_BURGLA21,FILTER22_x_BURGLA22,VEHIC_sum,VEHIC_avg,VEHIC_diff_20_21,VEHIC_diff_21_22,VEHIC_diff_20_22,FILTER20_x_VEHIC20,FILTER20_x_VEHIC21,FILTER20_x_VEHIC22,FILTER21_x_VEHIC20,FILTER21_x_VEHIC21,FILTER21_x_VEHIC22,FILTER22_x_VEHIC20,FILTER22_x_VEHIC21,FILTER22_x_VEHIC22,ARSON_sum,ARSON_avg,ARSON_diff_20_21,ARSON_diff_21_22,ARSON_diff_20_22,FILTER20_x_ARSON20,FILTER20_x_ARSON21,FILTER20_x_ARSON22,FILTER21_x_ARSON20,FILTER21_x_ARSON21,FILTER21_x_ARSON22,FILTER22_x_ARSON20,FILTER22_x_ARSON21,FILTER22_x_ARSON22
100654001,Alabama A & M University,Main Campus,4900 MERIDIAN ST,NORMAL,AL,2369.0,3638.0,6007.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.3333333333333335,0.0,1.0,1.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,9.0,3.0,6.0,9.0,5.0,8.0,14.0,5.0,8.0,14.0,5.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100663001,University of Alabama at Birmingham,Main Campus,"ADMINISTRATION BLDG SUITE 1070, 701 20th Street So",BIRMINGHAM,AL,7903.0,13736.0,21639.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.6666666666666665,2.0,-2.0,0.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,19.0,6.333333333333333,3.0,7.0,10.0,2.0,5.0,12.0,2.0,5.0,12.0,2.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.6666666666666666,-1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100706001,University of Alabama in Huntsville,Main Campus,301 SPARKMAN DR,HUNTSVILLE,AL,5333.0,3904.0,9237.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,-1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.0,2.0,1.0,0.3333333333333333,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,-1.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,7.0,2.3333333333333335,-6.0,1.0,-5.0,6.0,0.0,1.0,6.0,0.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100724001,Alabama State University,Main Campus,915 SOUTH JACKSON ST,MONTGOMERY,AL,1347.0,2481.0,3828.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.333333333333333,-10.0,9.0,-1.0,10.0,0.0,9.0,10.0,0.0,9.0,10.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100751001,The University of Alabama,Main Campus,1110 Jackson Ave,TUSCALOOSA,AL,16506.0,22138.0,38644.0,0.0,0.0,18.0,3.0,0.0,0.0,0.0,1.0,22.0,0.0,2.0,0.0,0.0,26.0,6.0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,24.0,2.0,0.0,0.0,0.0,10.0,22.0,0.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,22.666666666666668,8.0,-2.0,6.0,18.0,26.0,24.0,18.0,26.0,24.0,18.0,26.0,24.0,11.0,3.6666666666666665,3.0,-4.0,-1.0,3.0,6.0,2.0,3.0,6.0,2.0,3.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,4.0,0.0,9.0,9.0,1.0,1.0,10.0,1.0,1.0,10.0,1.0,1.0,10.0,65.0,21.666666666666668,-1.0,1.0,0.0,22.0,21.0,22.0,22.0,21.0,22.0,22.0,21.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,-2.0,1.0,-1.0,2.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,1.0
100830001,Auburn University at Montgomery,Auburn University Montgomery,7400 EAST DRIVE,MONTGOMERY,AL,1900.0,3209.0,5109.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.3333333333333335,-3.0,7.0,4.0,3.0,0.0,7.0,3.0,0.0,7.0,3.0,0.0,7.0,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100858001,Auburn University,Auburn University,182 South College Street,Auburn,AL,15678.0,16086.0,31764.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,38.0,4.0,0.0,0.0,0.0,10.0,11.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,17.666666666666668,29.0,-32.0,-3.0,9.0,38.0,6.0,9.0,38.0,6.0,9.0,38.0,6.0,13.0,4.333333333333333,2.0,3.0,5.0,2.0,4.0,7.0,2.0,4.0,7.0,2.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,6.333333333333333,5.0,-6.0,-1.0,5.0,10.0,4.0,5.0,10.0,4.0,5.0,10.0,4.0,22.0,7.333333333333333,2.0,-9.0,-7.0,9.0,11.0,2.0,9.0,11.0,2.0,9.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
100858003,Auburn University,Solon Dixon Forestry Education Center,12130 Dixon Center Road,Andalusia,AL,15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,1.0,-1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100858004,Auburn University,Rural Studio,8448  AL Hwy 61,Newbern,AL,15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100858005,Auburn University,Harris Early Learning Center,1413 7th Avenue North,Birmingham,AL,15678.0,16086.0,31764.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
